OSD188_6_14_RI	OSD189_6_14_YNG	OSD190_6_14_KI	OSD191_6_14_DRW	OSD31_6_14_PH	OSD32_6_14_NSI	OSD33_6_14_MI
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Archaea;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Archaea;Aenigmarchaeota
0.0000	0.0000	0.0044	0.0126	0.0000	0.0000	0.0401	Archaea;Bathyarchaeota
5.3412	5.8493	8.1985	4.0707	2.3526	6.6805	9.6329	Archaea;Euryarchaeota
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Archaea;Lokiarchaeota
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Archaea;Marine Hydrothermal Vent Group(MHVG)
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Archaea;Miscellaneous Euryarchaeotic Group(MEG)
0.9128	0.0140	2.9989	1.0911	0.2545	0.0575	8.3443	Archaea;Thaumarchaeota
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Archaea;WSA2
0.0040	0.0279	0.0044	0.2350	0.0083	0.0306	0.0630	Archaea;Woesearchaeota (DHVEG-6)
0.0000	0.0000	0.0000	0.0084	0.0000	0.0000	0.0000	Bacteria;Acetothermia
0.0239	0.0000	0.0221	0.3273	0.0042	0.0000	0.0172	Bacteria;Acidobacteria
7.8165	5.6190	4.0529	10.4033	9.1228	8.3506	6.1337	Bacteria;Actinobacteria
0.0000	0.0000	0.0000	0.0294	0.0000	0.0000	0.0000	Bacteria;Armatimonadetes
0.0000	0.0000	0.0000	0.0126	0.0000	0.0000	0.0000	Bacteria;BRC1
12.5478	7.5594	15.1488	12.1197	20.4313	8.5996	6.2425	Bacteria;Bacteroidetes
0.0319	0.0035	0.0088	0.0588	0.0083	0.0153	0.0458	Bacteria;Chlamydiae
0.0000	0.0489	0.0044	0.0923	0.0083	0.0230	0.0000	Bacteria;Chlorobi
0.7733	0.9144	0.4763	0.3609	0.1168	0.2911	2.0961	Bacteria;Chloroflexi
15.2184	25.0480	22.1477	23.4462	21.9539	31.8931	13.7793	Bacteria;Cyanobacteria
0.0000	0.0000	0.0000	0.0504	0.0000	0.0000	0.0000	Bacteria;Deferribacteres
0.0040	0.0000	0.0000	0.0252	0.0083	0.0000	0.0000	Bacteria;Deinococcus-Thermus
0.0000	0.0035	0.0044	0.0210	0.0000	0.0000	0.0000	Bacteria;Elusimicrobia
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;FCPU426
0.0000	0.0000	0.0044	0.0168	0.0125	0.0115	0.0000	Bacteria;Fibrobacteres
0.0438	0.0244	0.0221	0.0294	0.0167	0.0115	0.0000	Bacteria;Firmicutes
0.0080	0.0000	0.0044	0.0126	0.0000	0.0000	0.0000	Bacteria;Fusobacteria
0.1395	0.0035	0.0926	0.4448	0.0125	0.0038	0.8075	Bacteria;Gemmatimonadetes
0.0000	0.0035	0.0000	0.0671	0.0042	0.0000	0.0000	Bacteria;Gracilibacteria
0.0000	0.0000	0.0000	0.0546	0.0000	0.0000	0.0057	Bacteria;Hydrogenedentes
0.0000	0.0000	0.0000	0.0126	0.0000	0.0000	0.0000	Bacteria;Ignavibacteriae
0.0080	0.0000	0.0000	0.0797	0.0000	0.0000	0.0000	Bacteria;Latescibacteria
0.0199	0.0175	0.0353	0.2728	0.0209	0.0919	0.0000	Bacteria;Lentisphaerae
6.1703	4.7081	6.6064	5.3926	3.6249	3.3977	6.2826	Bacteria;Marinimicrobia (SAR406 clade)
0.0000	0.0000	0.0000	0.0084	0.0000	0.0000	0.0000	Bacteria;Microgenomates
0.0080	0.0000	0.0221	0.0126	0.0000	0.0000	0.3894	Bacteria;Nitrospinae
0.0120	0.0000	0.0000	0.1091	0.0000	0.0038	0.0000	Bacteria;Nitrospirae
0.0080	0.0000	0.0088	0.0378	0.0000	0.0000	0.0115	Bacteria;Omnitrophica
0.0438	0.0035	0.0309	0.0210	0.0042	0.0038	0.0974	Bacteria;PAUC34f
0.0000	0.0035	0.0044	0.0252	0.0083	0.0000	0.0057	Bacteria;Parcubacteria
0.0000	0.0000	0.0000	0.0084	0.0000	0.0000	0.0000	Bacteria;Peregrinibacteria
1.1161	0.1780	0.8512	1.3261	0.1919	0.1187	0.3894	Bacteria;Planctomycetes
0.0199	0.0000	0.0044	0.0000	0.0000	0.0000	0.0057	Bacteria;Poribacteria
45.2607	45.8661	35.3649	36.1744	36.5161	36.8536	40.8682	Bacteria;Proteobacteria
0.0000	0.0000	0.0000	0.0252	0.0000	0.0000	0.0000	Bacteria;RBG-1 (Zixibacteria)
0.2511	0.2757	0.1940	0.0965	0.0667	0.0843	0.8304	Bacteria;SBR1093
0.0080	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;SR1 (Absconditabacteria)
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Saccharibacteria
0.0080	0.0035	0.0000	0.0210	0.0000	0.0000	0.0000	Bacteria;Spirochaetae
0.0080	0.0000	0.0000	0.0126	0.0000	0.0000	0.0057	Bacteria;TM6 (Dependentiae)
0.0000	0.0000	0.0044	0.0042	0.0000	0.0000	0.0000	Bacteria;Tectomicrobia
0.0000	0.0000	0.0000	0.0084	0.0042	0.0000	0.0000	Bacteria;Tenericutes
2.8978	2.3802	0.5954	1.5150	0.4422	0.4712	0.4524	Bacteria;Verrucomicrobia
1.2954	1.4449	3.0827	1.8087	4.8054	3.0070	3.4534	No Relative
